"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Reyes Moronta","SF","RP","54.3","68","1","1","14","3.15","1.24","19","36","31","5","57","3","3"
"Adam Cimber","CLE","RP","60.1","49","1","2","14","3.78","1.30","25","62","16","8","68","3","5"
"Hector Rondon","HOU","RP","56.1","66","2","2","13","3.49","1.26","22","52","18","7","58","3","3"
"Justin Miller","WSH","RP","52.3","58","2","2","12","4.26","1.28","25","49","18","9","56","3","3"
"Daniel Winkler","ATL","RP","53.3","63","1","2","19","3.42","1.24","20","47","19","5","56","3","3"
"Bud Norris","","RP","57.0","62","2","1","0","4.05","1.33","26","53","23","7","57","3","3"
"Keynan Middleton","LAA","RP","18.5","19","0","0","0","3.89","1.37","8","18","8","3","16","1","1"
"Mike Montgomery","CHC","SP,RP","67.3","52","1","0","0","3.78","1.31","28","64","24","6","52","4","4"
"A.J. Ramos","","RP","40.0","46","2","0","0","4.39","1.49","20","34","26","6","58","2","3"
"John Gant","STL","SP,RP","59.8","50","0","0","0","4.10","1.38","27","56","27","8","34","4","3"
"Justin Anderson","LAA","RP","57.0","67","3","3","19","4.06","1.53","26","48","39","6","57","2","3"
"Chaz Roe","TB","RP","46.8","53","1","2","28","3.61","1.17","19","37","18","6","59","2","3"
"John Brebbia","STL","RP","55.3","62","1","1","6","3.50","1.17","22","48","17","8","53","3","3"
"Carson Smith","BOS","RP","14.0","17","1","0","1","3.54","1.36","6","13","6","1","21","1","1"
"Antonio Senzatela","COL","SP,RP","145.5","116","0","0","0","4.41","1.39","71","151","51","22","29","9","9"
"Jeff Hoffman","COL","SP,RP","34.0","26","0","0","0","5.47","1.60","21","38","16","5","7","1","2"
"Ryan Tepera","TOR","RP","67.5","72","4","2","18","3.87","1.27","29","58","27","9","65","3","4"
"Cody Reed","CIN","RP","42.0","41","0","0","0","4.44","1.46","21","43","19","6","19","3","3"
"Oliver Perez","CLE","RP","29.7","42","1","1","15","3.03","1.19","10","25","10","4","56","2","2"
"Junior Guerra","MIL","SP,RP","52.6","50","1","0","0","4.28","1.36","25","50","22","9","58","3","3"
